Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
Twenty Two Motors,Technology,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0.00
PharmEasy,eCommerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,18000000.00
WonderChef,eCommerce,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,0.00
FastFox,Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,4600000.00
Omnify,Technology,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,150000.00
Capital Float,Consumer Internet,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,2300000.00
Ninjacart,eCommerce,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,5500000.00
MergerWare,Technology,Bangalore,Philippe Bouchet,Seed Funding,100000.00
Sports Flashes,Consumer Internet,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.00
Clovia,eCommerce,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,4000000.00
Emiza,Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,4500000.00
HackerEarth,Consumer Internet,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,4500000.00
Squadrun,Technology,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,2100000.00
Tinmen,Consumer Internet,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.00
ScoutMyTrip,Consumer Internet,Mumbai,Z Nation Lab,Seed Funding,0.00
SafetyKart,eCommerce,Gurgaon,Redcliffe Capital,Private Equity,0.00
WeAreHolidays,Consumer Internet,Gurgaon,"Urrshila Kerkar,",Private Equity,7700000.00
Ola Cabs,Consumer Internet,Bangalore,SIMI Pacific Pte,Private Equity,260000000.00
Myly,Consumer Internet,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,310000.00
CrediHealth,Consumer Internet,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,1500000.00
Navia Life Care,Technology,New Delhi,Benori Ventures LLP,Seed Funding,0.00
Raw Pressery,Food & Beverages,Mumbai,Jacqueline Fernandez,Seed Funding,0.00
Snackible,Food & Beverages,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,175000.00
Be U Salons,Consumer Internet,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,620000.00
Simulanis,Consumer Internet,New Delhi,Village Capital,Seed Funding,0.00
LendingKart,Consumer Internet,Ahmedabad,Anicut Capital,Private Equity,4650000.00
Innefu Security Consulting,Technology,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,2000000.00
Whodat,Technology,Bangalore,Ideaspring Capital,Private Equity,600000.00
Absentia VR,Technology,Bangalore,Exfinity Venture Partners,Private Equity,1250000.00
IOTrek,Technology,New Delhi,Undisclosed Investor,Seed Funding,155000.00
HolaChef,Consumer Internet,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,3000000.00
Wooplr,eCommerce,Bangalore,Ankit Nagori,Private Equity,0.00
Video Ken,Consumer Internet,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,1000000.00
Faasos,Food & Beverage,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,6300000.00
Oyo Rooms,Consumer Internet,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,250000000.00
Toppr,Consumer Internet,Mumbai,WGG International,Private Equity,3200000.00
Niramai,Healthcare,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0.00
The Office Pass,Consumer Internet,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,245000.00
UrbanClap,Consumer Internet,Gurgaon,Trifecta Capital,Private Equity,3100000.00
Awfis,Consumer Internet,Mumbai,Sequoia India,Private Equity,20000000.00
Myra,Consumer Internet,Bangalore,"Times Internet,Matrix Partners",Private Equity,0.00
Flytxt,Technology,Mumbai,DAH Beteiligungs GmbH,Private Equity,11000000.00
Howdy Ventures,Consumer Internet,Chennai,S. Xavier Britto,Seed Funding,1500000.00
StalkBuyLove,eCommerce,New Delhi,Trifecta Capital,Private Equity,1000000.00
ZipGo,Consumer Internet,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,0.00
Scootsy,Consumer Internet,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,3600000.00
Autobix,Technology,Pune,GardX International,Seed Funding,0.00
eShiksha,Technology,Jaipur,Cross Border Angels & Experts,Seed Funding,0.00
iNurture,Consumer Internet,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,1500000.00
Sepalika,Consumer Internet,New Delhi,Accel Partners,Seed Funding,750000.00
Mintwalk,Consumer Internet,Mumbai,Poshika Financial Ecosystem,Seed Funding,0.00
Qriyo,Consumer Internet,Jaipur,NB Ventures,Private Equity,0.00
Ola,Consumer Internet,Bangalore,SoftBank Group Corp,Private Equity,330000000.00
Belong,Consumer Internet,Bangalore,Sequoia Capital India,Private Equity,10000000.00
Seenit,Consumer Internet,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0.00
Paalak,ECommerce,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0.00
Celes Care,Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,1500000.00
Karomi,Technology,Chennai,Ideaspring Capital,Seed Funding,500000.00
Red Carpet,Consumer Internet,Gurgaon,Lightspeed Venture Partners,Private Equity,2500000.00
Kreate Konnect,Technology,Vadodara,Langoor,Seed Funding,0.00
CreditMantri,Consumer Internet,Chennai,Quona Capital,Private Equity,7600000.00
Lets Endorse,Consumer Internet,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0.00
Tydy,Technology,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,275000.00
Nactus,Consumer Internet,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0.00
Oho Shop,Technology,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,6700000.00
Emojifi,Consumer Internet,Hyderabad,Undisclosed angel investors,Seed Funding,0.00
Paytm Marketplace,ECommerce,Bangalore,Alibaba,Private Equity,200000000.00
iGenetics,Healthcare,Mumbai,CDC Group Plc,Private Equity,19500000.00
Juno Clinic,Consumer Internet,Mumbai,Atul Nishar,Seed Funding,1200000.00
Summerlabel,Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,150000.00
PickMe,Consumer Internet,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000.00
Agrostar,Technology,Pune,Accel Partners,Private Equity,10000000.00
Zapr,Technology,Bangalore,Star India Pvt Ltd,Private Equity,10000000.00
Data Resolve,Technology,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,1000000.00
Book Servicing,Consumer Internet,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000.00
Blowhorn,Consumer Internet,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,3650000.00
Rivigo,Logistics,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,15000000.00
PipeCandy,Technology,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,1100000.00
Supr Daily,Consumer Internet,Mumbai,Y Combinator,Seed Funding,120000.00
Parentune,Consumer Internet,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0.00
AppBrowzer,Consumer Internet,Bangalore,Deepak Gurnani,Seed Funding,500000.00
MagicBricks,Consumer Internet,Mumbai,Times Internet Ltd,Private Equity,4500000.00
PeeBuddy,Healthcare,New Delhi,Indian Angel Network,Seed Funding,443000.00
iOrderFresh,ECommerce,New Delhi,Singapore Angel Network,Seed Funding,0.00
Lavelle Networks,Technology,Bangalore,Ideaspring Capital,Seed Funding,600000.00
PropertyShare,Consumer Internet,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,0.00
MyDermacy,Consumer Internet,New Delhi,Cyber Carrier,Private Equity,0.00
LatestOne,eCommerce,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,3350000.00
Frapperz,Consumer Internet,Kolkata,Undisclosed Investor,Seed Funding,100000.00
mPaani,Consumer Internet,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,1350000.00
ShilpMIS,Technology,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed Funding,0.00
POPxo,Consumer Internet,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,3100000.00
Fitso,Consumer Internet,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,200000.00
FarMart,Technology,Gurgaon,Indian Angel Network,Seed Funding,0.00
Flipkart,eCommerce,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,1400000000.00
Airpay,Technology,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,3670000.00
MyGlamm,Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,5300000.00
The Mons Co.,eCommerce,New Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed Funding,0.00
Haqdarshak,Consumer Internet,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,191000.00
Ixigo,Consumer Internet,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,15000000.00
Markets and Markets,Technology,Pune,"FTV Capital, Zodius Capital",Private Equity,56000000.00
Bizom,Technology,Bangalore,Ojas Ventures,Seed Funding,382000.00
BabyonBoard,Consumer Internet,Bangalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed Funding,0.00
Delhivery,Technology,New Delhi,"Carlyle Group, Tiger Global",Private Equity,100000000.00
Sport Flashes,Consumer Internet,New Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed Funding,0.00
Fynd,ECommerce,Mumbai,Venture Catalysts,Private Equity,500000.00
Wigzo,Technology,New Delhi,3one4 capital,Private Equity,0.00
DoneThing,Consumer Internet,Gurgaon,Brand Capital,Private Equity,300000.00
Zapyle,ECommerce,Bangalore,Undisclosed Investors,Seed Funding,0.00
Ithaka,Consumer Internet,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,325000.00
perpule,eCommerce,Bangalore,KStart Capital,Seed Funding,650000.00
Byju\\xe2\\x80\\x99s,Consumer Internet,Bangalore,Verlinvest,Private Equity,0.00
Licious,ECommerce,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,10000000.00
Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,50000.00
Indus OS,Technology,Mumbai,"JSW Ventures, VenturEast",Private Equity,0.00
Emflux Motors,Technology,Bangalore,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",Seed Funding,0.00
Klinic App,Consumer Internet,Gurgaon,Om Chaudhry,Seed Funding,0.00
Jhakaas,Consumer Internet,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,155000.00
Oriano Solar,Technology,Mumbai,Samridhi Fund,Private Equity,3000000.00
BigBasket,ECommerce,Bangalore,Trifecta Capital,Private Equity,7000000.00
Rooter,Consumer Internet,New Delhi,Intex Technologies,Private Equity,0.00
FalconBrick,Technology,Bangalore,"Satveer Thakral, LetsVenture, Mumbai Angels",Seed Funding,0.00
Icertis,Technology,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures, Eight Roads Ventures",Private Equity,25000000.00
Clodura,Technology,Pune,Undisclosed Investors,Seed Funding,0.00
Stockroom.io,Consumer Internet,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,0.00
Capital Float,Consumer Internet,Bangalore,IFMR Capital Finance,Private Equity,2500000.00
iManageMyHotel,Technology,Kolkata,Jaarvis Accelerator,Seed Funding,0.00
Inner Hour,Consumer Internet,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,450000.00
Travel Triangle,Consumer Internet,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,10000000.00
Wandertrails,Consumer Internet,Bangalore,Earlsfield Capital,Seed Funding,1000000.00
Zenatix,Technology,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,1200000.00
Cartrade,Consumer Internet,Mumbai,Temasek Holdings,Private Equity,55000000.00
MindYourFleet,Technology,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,0.00
Edurev,Consumer Internet,Gurgaon,Facebook FB Start programme,Seed Funding,40000.00
Voonik,ECommerce,Bangalore,"RB Investments, Sequoia Capital",Private Equity,6000000.00
1Crowd,Finance,Mumbai,Ganesh Natarajan,Seed Funding,0.00
Wooplr,ECommerce,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,8000000.00
48East,ECommerce,Bangalore,Al Dhaheri family,Private Equity,500000.00
Redesyn,Consumer Internet,Mumbai,ThinQbate,Seed Funding,0.00
Sigtuple,Technology,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,5800000.00
Flutura,Technology,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,7500000.00
Wassup,Consumer Internet,Chennai,Anil Jain & other HNIs,Private Equity,3200000.00
Better Mortgage,Consumer Internet,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,15000000.00
Nurturey,Consumer Internet,New Delhi,Mohit Joshi & Others,Seed Funding,330000.00
Fyle,Technology,Bangalore,Pravega Ventures,Seed Funding,400000.00
GoBumpr,Consumer Internet,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,300000.00
CCAvenue,Consumer Internet,Mumbai,Infibeam,Private Equity,22400000.00
Connaizen,Technology,New Delhi,Vikram Sud,Seed Funding,0.00
Innov8,Consumer Internet,New Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",Seed Funding,0.00
ZestMoney,Consumer Internet,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,6500000.00
AirZaar,Technology,Missourie,Quake Capital,Seed Funding,350000.00
Truebil,Consumer Internet,Mumbai,Shunwei Capital,Private Equity,3000000.00
YourStory,Consumer Internet,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,3000000.00
Imaginate,Technology,Hyderabad,SRI Capital,Seed Funding,500000.00
The Ken,Consumer Internet,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,400000.00
Urban Ladder,ECommerce,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,15200000.00
Aisle,Consumer Internet,Bangalore,"Konglo Ventures, White Unicorn Ventures, LetsVenture",Seed Funding,0.00
TownScript,Consumer Internet,Pune,BookMyShow,Private Equity,0.00
Leopetra,eCommerce,Mumbai,Facebook FBStart,Seed Funding,40000.00
Blood n Care,Consumer Internet,Gurgaon,Facebook FBStart,Seed Funding,40000.00
Flipkart,eCommerce,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,38700000.00
True Balance,Consumer Internet,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,15000000.00
Vebbler,Consumer Internet,Bangalore,Facebook FBStart,Seed Funding,40000.00
Get My Parking,Consumer Internet,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,1100000.00
Lets Reap,Consumer Internet,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",Seed Funding,0.00
Oglas,Consumer Internet,Noida,"Pankaj Rungta, Yogesh Agarwal",Seed Funding,0.00
Staydobe,Consumer Internet,Bangalore,Ishan Manaktala,Seed Funding,0.00
Biryani By Kilo,Consumer Internet,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,375000.00
Johari Shop,ECommerce,Bangalore,Undisclosed Investors,Seed Funding,94000.00
NeoStencil,Consumer Internet,New Delhi,"Brand Capital, Paragon Trust",Private Equity,1000000.00
Blackbuck,Logistics,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,70000000.00
TaxSutra,Consumer Internet,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,366000.00
TempoGo,Technology,Panaji,K2 Capital,Seed Funding,825000.00
GoFynd,ecommerce,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,0.00
Vow Car Clinic,Consumer Internet,Gurgaon,Vishal Malik,Seed Funding,0.00
LearnTron,Technology,Chennai,Kae Capital,Seed Funding,0.00
MobiDent,Consumer Internet,Bangalore,DanGold Investment Corp,Private Equity,0.00
Yostra,Technology,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,0.00
Leap India,Logistics,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,13000000.00
FreeCharge,Consumer Internet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000.00
TicketNew,Consumer Internet,Chennai,Alibaba Pictures,Private Equity,35000000.00
Intelligence Node,Technology,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000.00
Securens,Technology,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,5000000.00
Loan Frame,Consumer Internet,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,2250000.00
DriveSkool,Consumer Internet,Bangalore,Aavya Ventures,Seed Funding,0.00
Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,100000.00
LensKart,eCommerce,Bangalore,Ronnie Screwvala,Private Equity,3500000.00
InstaOffice,Consumer Internet,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,0.00
Hansel.io,Consumer Internet,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,1350000.00
Square Yards,Consumer Internet,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,10000000.00
Roambee,Technology,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,4100000.00
PaisaWapas,Consumer Internet,Bangalore,Vividhity Ventures,Seed Funding,0.00
iService,Consumer Internet,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,440000.00
Unacademy,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,4500000.00
SecururAX,Technology,Bangalore,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",Private Equity,0.00
Leadburg,Consumer Internet,Bangalore,"Harsh V. Pant, Ratheesh Raveendran",Seed Funding,0.00
ZoloStays,Consumer Internet,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,5000000.00
Oi Media,Technology,New Delhi,Quarizon,Seed Funding,0.00
HipCouch,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,700000.00
Curiositi,Consumer Internet,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,800000.00
TinyStep,Consumer Internet,Bangalore,Flipkart,Private Equity,2000000.00
Practo,Consumer Internet,Bangalore,"Tencent, ru-Net, RSI Fund, Thrive Capital",Private Equity,55000000.00
Ketchupp,Consumer Internet,New Delhi,India Quotient and others,Seed Funding,441000.00
Hoopy,Consumer Internet,Gwalior,undisclosed investors,Seed Funding,500000.00
Ezytruk,Consumer Internet,Bangalore,"Ajith Nair, Anish K",Seed Funding,147000.00
Kratikal,Technology,New Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",Seed Funding,0.00
Direct Create,eCommerce,Gurgaon,Rajasthan Venture Capital Fund,Seed Funding,0.00
